Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance_x,ModeratelyActiveDistance_x,LightActiveDistance_x,SedentaryActiveDistance_x,VeryActiveMinutes_x,FairlyActiveMinutes_x,LightlyActiveMinutes_x,SedentaryMinutes_x,Calories,Date,DayOfWeek,Month,ActivityDay,SedentaryMinutes_y,LightlyActiveMinutes_y,FairlyActiveMinutes_y,VeryActiveMinutes_y,SedentaryActiveDistance_y,LightActiveDistance_y,ModeratelyActiveDistance_y,VeryActiveDistance_y,TotalMinutesAsleep,TotalTimeInBed,SleepEfficiency,WeightKg,BMI
1503960366,2016-04-12,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,2016-04-12,Tuesday,4,2016-04-12,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,327.0,346.0,0.9450867052023122,0.0,0.0
1503960366,2016-04-13,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,2016-04-13,Wednesday,4,2016-04-13,776,217,19,21,0.0,4.71000003814697,0.689999997615814,1.57000005245209,384.0,407.0,0.9434889434889435,0.0,0.0
1503960366,2016-04-14,10460,6.73999977111816,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30,11,181,1218,1776,2016-04-14,Thursday,4,2016-04-14,1218,181,11,30,0.0,3.91000008583069,0.400000005960464,2.44000005722046,0.0,0.0,0.0,0.0,0.0
1503960366,2016-04-15,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,2016-04-15,Friday,4,2016-04-15,726,209,34,29,0.0,2.82999992370605,1.25999999046326,2.14000010490417,412.0,442.0,0.9321266968325792,0.0,0.0
1503960366,2016-04-16,12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,2016-04-16,Saturday,4,2016-04-16,773,221,10,36,0.0,5.03999996185303,0.409999996423721,2.71000003814697,340.0,367.0,0.9264305177111717,0.0,0.0
1503960366,2016-04-17,9705,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,1728,2016-04-17,Sunday,4,2016-04-17,539,164,20,38,0.0,2.50999999046326,0.779999971389771,3.19000005722046,700.0,712.0,0.9831460674157303,0.0,0.0
1503960366,2016-04-18,13019,8.59000015258789,8.59000015258789,0.0,3.25,0.639999985694885,4.71000003814697,0.0,42,16,233,1149,1921,2016-04-18,Monday,4,2016-04-18,1149,233,16,42,0.0,4.71000003814697,0.639999985694885,3.25,0.0,0.0,0.0,0.0,0.0
1503960366,2016-04-19,15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,2016-04-19,Tuesday,4,2016-04-19,775,264,31,50,0.0,5.03000020980835,1.32000005245209,3.52999997138977,304.0,320.0,0.95,0.0,0.0
1503960366,2016-04-20,10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,2016-04-20,Wednesday,4,2016-04-20,818,205,12,28,0.0,4.23999977111816,0.479999989271164,1.96000003814697,360.0,377.0,0.9549071618037135,0.0,0.0
1503960366,2016-04-21,9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,2016-04-21,Thursday,4,2016-04-21,838,211,8,19,0.0,4.65000009536743,0.349999994039536,1.3400000333786,325.0,364.0,0.8928571428571429,0.0,0.0
